What is the primary purpose of national bioethics commissions?,"To suggest legislation, guidelines, or codes of professional conduct for medical matters."
How long has France's national bioethics commission been established according to the text?,For more than a decade.
What is the specific goal of Denmark's bioethics organization?,To inform the public about bioethics and seek its views.
Why is a standing bioethics commission often preferred over a series of ad hoc committees?,It is less cumbersome and can respond to issues without delay due to its familiarity with the territory.
What is the function of Human Investigation Committees in modern medicine?,To protect the rights and dignities of patients involved in medical research.
Who popularized the 'Four Principles' approach to medical ethics?,Tom Beauchamp and James Childress.
"In the 'Four Principles' approach, how is the principle of Autonomy defined?",Respecting the capacity of an autonomous agent to make choices based on their own values and beliefs.
What is the Latin phrase for the principle of Nonmaleficence?,"$Primum non nocere$ (First, do no harm)."
The principle of _____ refers to a moral obligation to act for the benefit of others.,Beneficence
What is the formal principle of Justice in healthcare ethics?,The requirement that like cases should be treated alike.
"In 15th-century Brussels, what was the composition of the board that licensed midwives?","Ecclesiastics, doctors, and midwives."
What is the 'epistemic condition' for valid consent in clinical ethics?,The requirement that the patient must be informed about the medical procedure and its risks.
What defines the 'voluntary condition' for valid consent?,The requirement that the consent transaction must happen without coercion.
Concept: Paternalism,Definition: Overriding a patient's wishes or choices for their own benefit or 'best interest'.
Why do Randomized Controlled Trials (RCTs) present an ethical dilemma for physicians?,The doctor must be disinterested in the outcome for each individual patient to maintain scientific validity.
What shift occurred in the 'test of death' due to the demands of organ transplantation?,The shift from cessation of breathing to 'brain death'.
"Kant's Categorical Imperative: Never treat humanity merely as a _____, but always also as an end.",Means
What is the role of 'strict codes of behavior' in organ transplantation ethics?,"To ensure the physician supervising the donor decides when life support is withdrawn, rather than the recipient's doctor."
"In clinical research, what is a 'double-blind' study?",A protocol where neither the investigators nor the subjects know which specific drug a patient is receiving.
What historical event led doctors to become conspicuous in humanitarian and nuclear disarmament movements?,The recoil from the medical atrocities committed during the Second World War.
The ethical problem of 'diagnostic creep' refers to what practice?,Expanding the diagnosis of treatable illnesses to include normal life events for commercial gain.
What is the significance of the Fourth Lateran Council (1215) regarding medical practice?,"It forbade clerics from shedding blood, effectively banning them from practicing surgery."
Why is 'medical materialism' often criticized in ethical debates?,Because it uses a reductionist model of physical science that may ignore the values of the patient.
How did common people in Britain react to the Anatomy Act of 1832?,With grass-roots hostility and misgivings due to the activities of grave-robbers like Burke and Hare.
What is the 'normative power' of consent?,The ability to make an action permissible that would otherwise be impermissible.
Why is 'power asymmetry' relevant to informed consent in healthcare?,The doctor's superior skill and knowledge can be used to unfairly persuade or pressure a patient.
"In clinical ethics, what is 'soft paternalism'?","Intervening when a patient's autonomy is compromised by factors like age, drugs, or mental state."
How does Meta-ethics differ from Normative ethics?,Meta-ethics inquires about the meaning/nature of statements; Normative ethics decides if actions are right/wrong.
The distinction between _____ and _____ duties clarifies the difference between respecting a wish and actively providing help.,Negative; Positive
What is 'Radical Impartiality' in Utilitarian medical ethics?,"The requirement to treat the interests of all individuals equally, regardless of personal connection."
"The term 'Clinical' in medicine is derived from the Greek word _____, meaning 'couch' or 'bed'.",$klin\bar{e}$
What does 'distributive justice' address in the context of ethical committees?,"The fair allocation of scarce resources, such as organs or expensive medical technologies."
What is a 'never event' in a healthcare setting?,"A serious medical error that is preventable and should never happen, such as wrong-site surgery."
Why is it argued that clinical ethics should not be 'value-free'?,Science alone does not answer all medical needs or the personal wishes and feelings of patients.
Under what condition is a patient's wish usually overridden by an ethical committee?,When the patient is judged to lack the capacity for autonomous decision-making.
What is the function of a 'tribunal' in intractable medical cases?,To provide a case-by-case analysis of individual intricacies when doctors and families disagree.
"In medical ethics, the 'Responsibility condition: Control' requires what of the agent?",That the agent had the freedom to choose their course of action without external compulsion.
How do ethical committees view the 'sanctity of the body' historically?,"As a religious belief that the body belongs to God, often used to oppose dissection."
What ethical concern arises from 'medical success' creating life-support systems?,The dilemma of when to withdraw support and whether death is being inappropriately delayed.
What is the 'Euthyphro Dilemma' when applied to medical authority?,"Is a medical rule right because an authority (like an ethics board) says so, or do they say so because it is inherently right?"
The primary ethical duty of the physician to the patient is described as transcending all other considerations in the _____ school.,Hippocratic (or Coan)
Why do committees believe that medical research cannot be left solely in the hands of researchers?,Because research has become so ingenious and impactful that it requires public scrutiny and ethical oversight.
"In clinical ethics, 'competence' is often defined by the patient's ability to _____.",Understand information and appreciate the consequences of a decision.
What is the ethical role of an 'Ethics Consultant' in a hospital?,To mediate bedside moral dilemmas and provide specialized expertise to staff and patients.
What does the principle of 'Nonmaleficence' prioritize in clinical decision-making?,The avoidance of causing harm or injustice to the patient.
The shift from 'authoritarianism' in medicine has eroded the _____ tasks once performed by doctors alone.,Unilateral decision-making (or Paternalistic)
What is 'Cultural Relativism' in the context of clinical ethics?,The factual observation that different cultures have different moral beliefs and practices.
How does 'informed consent' serve to empower the patient?,By providing the information necessary for the patient to make the best possible decision for themselves.
The belief that physicians have a 'special responsibility' is often symbolized by their taking of the _____.,Hippocratic Oath
"In the case of 'Mary's Secret,' what is the 'normative character' of the judgment 'Lisa was wrong'?",It appeals to a norm (like secret-keeping) to express a value preference about how things should be.
Why is 'irreversibility' a critical factor in the ethical assessment of end-of-life decisions?,"Because death is final, it requires higher epistemic and justificatory standards than common medical choices."
What is 'Health Inequality' in the context of distributive justice?,The existence of unjust distributions of healthcare or health outcomes among a population.
Why is the 'Samaritan' interpretation of the Categorical Imperative relevant to off-duty doctors?,It suggests an obligation to interact and further the ends (health) of others in need.
What is 'therapeutic nihilism' as mentioned in the modern Hippocratic Oath?,"The extreme skepticism that any medical treatment is truly effective, which the oath warns against."
How does the 'Law of Medicine' in the Hippocratic Corpus describe bad practitioners?,As actors in a tragedy who have the appearance and dress of a character but are not actually the person.
What is the 'pragmatic' view of why Greek medical ethics were developed?,To distinguish reputable Hippocratic physicians from charlatans and impostors.
The ethical requirement for a 'Double-Blind' study ensures that researchers are _____ in the outcome for individual subjects.,Disinterested
Why do Standing Commissions reduce 'false alarms' in bioethics?,Their ongoing expertise allows them to respond correctly to new developments without public panic.
"In clinical ethics, what is a 'positive right' regarding healthcare?",A right that an individual has to receive specific benefits (like coverage) from the collective.
What does the principle of 'Justice' require when allocating a heart for transplant?,That the allocation criteria are impartial and treat equal medical needs equally.
Why is 'Judgment' considered an 'Art' in medicine?,Because it involves a search for meaning and humanness that goes beyond scientific capability.
What is the ethical implication of the 'Extended Mind' hypothesis for patient autonomy?,"That a patient's 'mind' and choices may be extended through tools, environments, and representatives."
"In the context of the categorical imperative, how is a 'mere means' defined?",Treating a person solely as a tool to achieve an end without their consent or regard for their own ends.
What is the primary reason for 'Ethics in Healthcare' training according to Ezio Di Nucci?,To provide guidance and support in navigating daily difficult decisions and impossible situations.