What is the central aim of the $2030$ Agenda for Sustainable Development adopted by the United Nations in $2015$?,"To end poverty and inequality, protect the planet, and ensure health, justice, and prosperity for all."
The $2030$ Agenda for Sustainable Development comprises how many distinct Goals?,$17$
"Across the $17$ Sustainable Development Goals, how many specific targets are identified to measure progress?",$169$
Which specific Sustainable Development Goal is focused on ensuring healthy lives and promoting well-being for all at all ages?,Goal $3$
How do the Sustainable Development Goals ($SDGs$) differ from the previous Millennium Development Goals ($MDGs$) in terms of global scope?,"The $SDGs$ are global in nature, whereas the $MDGs$ were limited to ""developing"" countries."
"The $SDG$ principle of ""leaving no one behind"" is primarily based on which two moral values?",Equity and respect for human rights.
"In the context of the $SDGs$, what approach combines the strengths of multiple stakeholders to integrate health into all sectors of policy-making?",Intersectoral action.
What is the primary aim of strengthening health systems within the framework of the $SDGs$?,To achieve Universal Health Coverage ($UHC$).
"For the purpose of tracking $SDG$ progress, why is it necessary for data to be ""disaggregated""?",To ensure that different (often vulnerable or marginalized) groups are being reached.
"Which $WHO$ policy integrating human, animal, and environmental health is a core part of the $SDG$ agenda?",One Health
"In moral philosophy, the view that there is a universally morally acceptable practice regardless of cultural diversity is known as _____.",Universalism
Which $meta$-ethical theory suggests that moral acceptability is relative to a specific culture or society?,Moral Relativism
"According to the $WHO$ definition from $1948$, health is a state of complete physical, mental, and social _____, not merely the absence of disease.",Well-being
Which Kantian principle states that one should treat humanity always as an end and never merely as a means?,The Categorical Imperative (Humanity Formula)
"In global health ethics, the requirement to always put universal utility first is a hallmark of which theory?",Utilitarianism (or Consequentialism)
"The ""ought implies can"" principle suggests that moral obligations can only be assigned to things that _____.",Individuals or states can actually control.
"Why is the right to healthcare considered a ""positive right"" in moral philosophy?",It entitles an individual to receive a benefit (care) from the state or collective.
"A right to non-interference, such as the right not to be killed, is categorized as a _____ right.",Negative
"In the $SDG$ context, scientific research and innovation should balance medical, social, and _____ determinants.",Environmental
The transition where improving health standards lead to falling death rates but high birth rates is the first stage of the _____ transition.,Demographic
What term describes the risk where rising populations in countries with overstretched ecosystems precipitate famine before birth rates can fall?,The demographic trap
Maurice King argued the $WHO$ definition of health should include which specific word to reflect global ecology?,Sustainable
The successful global eradication of which disease in $1979$ is cited as medicine's most significant symbolic achievement?,Smallpox
Global warming is expected to expand the reach of which parasitic disease into temperate latitudes currently free of the infection?,Malaria
"Which $meta$-ethical branch deals with the meaning and nature of ethical statements, such as ""torture is wrong""?",Meta-ethics
"The $meta$-ethical view that moral judgments are expressions of attitude (e.g., ""Boo to torture!"") rather than truth-claims is _____.",Noncognitivism
"In bioethics, the principle of _____ refers to the moral obligation to act for the benefit of others.",Beneficence
"The bioethical principle of _____ requires that ""above all, do no harm.""",Non-maleficence
Which bioethical principle emphasizes a patient's right to self-determination and informed consent?,Autonomy
"The principle that ""like cases should be treated alike"" in the distribution of healthcare is known as _____.",Justice
What is the term for interference with a person's autonomy with the intent of promoting their own good?,Paternalism
Which $2026$ $WHO$ news release focuses on learning from a little-known virus on a cruise ship to test health security frameworks?,How a little-known virus on a cruise ship put the world's health security framework to the test
Which specific virus was the subject of a $WHO$ Director-General message to the people of Tenerife in May $2026$?,Hantavirus
"In the $WHO$ European Region, which country's health sector is recognized as a leader in committing to the $2030$ Agenda?",Kyrgyzstan
Which Central Asian Republic was selected as a global pilot for the implementation of the Global Action Plan for Healthy Lives?,Tajikistan
"The ""Second European Programme of Work"" covers which five-year period?",$2026$—$2030$
"In $SDG$ implementation, ""sustainable financing"" emphasizes domestic funding to avoid the duplication of health system _____.",Functions
"According to $SDG$ Target $3.4$, the goal is to reduce premature mortality from _____ diseases through prevention and treatment.",Noncommunicable
"Which $SDG$ target focuses specifically on the recruitment, development, and training of the health workforce?",Target $3.c$
The $SDG$ health targets fact sheet from October $2018$ focuses on which health topic?,Mental health
"Target $3.3$ of the $SDGs$ specifically aims to end the epidemics of $AIDS$, tuberculosis, and _____.",Malaria
Which $SDG$ target focuses on strengthening the capacity of all countries for early warning and risk reduction of health risks?,Target $3.d$
What philosophical movement focuses on finding the most effective ways to use resources to maximize universal utility in healthcare?,Effective Altruism
John Rawls identifies health as a _____ primary good because it is a natural asset individuals want regardless of their life plan.,Natural
"In a liberal society, the ""right to healthcare"" is often debated as an entitlement to a specific standard of health versus equal _____ to care.",Access
"Deriving the normative claim ""pain is wrong"" directly from the descriptive fact that ""pain exists"" is known as the _____.",Naturalistic Fallacy
"In philosophical terms, valuing health because it enables other life goals (like love or work) means health is a _____.",Means (or Instrumental good)
"The $SDG$ framework encourages ""intersectoral action"" to combine the strengths of multiple _____.",Stakeholders
"In $2024$, which forum spotlighted how health investments catalyze transformation in Central Asia?",The Central Asia International Health Investment Forum
Which viral disease is listed as an emergency focus alongside $COVID$-$19$ and the Ukraine emergency in $WHO$ documents?,Mpox
What was the original target date set by the $WHO$ for the worldwide elimination of polio?,The year $2000$
The Successful eradication of smallpox in the late $1970$s raised hopes that other _____ diseases would be eliminated.,Infectious
Which parasitic worm infection is a prime candidate for eradication through clean drinking water and health education?,Guinea worm (Dracunculiasis)
"According to the $WHO$, the enjoyment of the highest attainable standard of health is a fundamental right without distinction of race, religion, or _____ condition.",Economic or social
"In the context of the $SDGs$, what is the role of the ""Global Indicator Framework""?",To provide specific targets and indicators for all $17$ Goals.
Which specific population group's empowerment is directly linked to the respect for equity and human rights in health policies?,Women
The $SDG$ fact sheet from April $2021$ regarding immunization targets which $SDG$ goal area?,Health Targets (Goal $3$)
Which branch of normative ethics delivered by Kant argues that duties should be fulfilled regardless of the consequences?,Deontology (Kantian Ethics)
"The problem of having to compromise one's moral principles to achieve a greater good is known as the ""_____ problem.""",Dirty hands
Which principle states that an individual can only be morally obligated to perform actions that are possible for them to fulfill?,Ought implies can
"The ""Social Model"" of disability suggests that ""disability"" is a natural disadvantage versus a _____ creation.",Social
"In distributive justice, the principle that resources should be allocated based on need to achieve equal outcomes is associated with _____.",Egalitarianism
"Which $WHO$ region recently focused on strengthening ""collaborative surveillance"" in a $2026$ news release?",The European Region
"In April $2021$, the $WHO$ released a fact sheet on $SDG$ health targets specifically concerning which workforce?",The Health Workforce
"The $2020$ document ""Coming together for healthy lives and well-being"" summarizes progress in which country?",Turkmenistan (and Kyrgyzstan/Tajikistan)
Which $WHO$ dashboard tracks progress toward the European Immunization Agenda $2030$?,The European Immunization Agenda $2030$ dashboard
"In the $SDG$ framework, what is the significance of Goal $17$ for global health?",It focuses on Partnerships for the Goals to enable universal progress.
"The idea that medicine should not just aim for the absence of disease but for a ""sustainable state"" of well-being was proposed by _____.",Maurice King
What is the primary moral concern regarding medicine's contribution to population increase in developing countries without birth control?,"It may increase total ""man-years of human misery"" through starvation or trap countries in poverty."
"The $SDG$ targets for Goal $3$ include reducing global maternal mortality to less than $70$ per $100,000$ _____.",Live births